TRITON_180m_Quality,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Range_Gate,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Signal_Level_A,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Signal_Level_B,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Signal_Level_C,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_SNR_A,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_SNR_B,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_SNR_C,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Suppressed_Echoes_A,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Suppressed_Echoes_B,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Suppressed_Echoes_C,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Valid_Spectra_A,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Valid_Spectra_B,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Valid_Spectra_C,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Wind_Direction,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Wind_Speed,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Wind_Turbulence,8,-99999,1.0,2016-10-07,True,1,0
TRITON_180m_Wind_Vert,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_BeamNumA,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_BeamNumB,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_BeamNumC,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Confidence_A,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Confidence_B,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Confidence_C,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Confidence_Function,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Echo_Suppression,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Number_of_Shots_A,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Number_of_Shots_B,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Number_of_Shots_C,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Peak_Detection,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Quality,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Range_Gate,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Signal_Level_A,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Signal_Level_B,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Signal_Level_C,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_SNR_A,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_SNR_B,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_SNR_C,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Suppressed_Echoes_A,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Suppressed_Echoes_B,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Suppressed_Echoes_C,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Valid_Spectra_A,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Valid_Spectra_B,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Valid_Spectra_C,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Wind_Direction,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Wind_Speed,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Wind_Turbulence,8,-99999,1.0,2016-10-07,True,1,0
TRITON_200m_Wind_Vert,8,-99999,1.0,2016-10-07,True,1,0
TRITON_30m_BeamNumA,8,-99999,1.0,2016-10-07,True,1,0
TRITON_30m_BeamNumB,8,-99999,1.0,2016-10-07,True,1,0
TRITON_30m_BeamNumC,8,-99999,1.0,2016-10-07,True,1,0
TRITON_30m_Confidence_A,8,-99999,1.0,2016-10-07,True,1,0
TRITON_30m_Confidence_B,8,-99999,1.0,2016-10-07,True,1,0
TRITON_30m_Confidence_C,8,-99999,1.0,2016-10-07,True,1,0
TRITON_30m_Confidence_Function,8,-99999,1.0,2016-10-07,True,1,0
TRITON_30m_Echo_Suppression,8,-99999,1.0,2016-10-07,True,1,0
TRITON_30m_Number_of_Shots_A,8,-99999,1.0,2016-10-07,True,1,0
